"Story","Title","Result","Date","Stability","Duration (s)"
"Authentication","Test Authentication","SUCCESS","2020-03-09T18:33:07.758-05:00[America/Bogota]","0.0","6.48"
"Authentication","Test Delete of session","SUCCESS","2020-03-09T18:33:14.25-05:00[America/Bogota]","0.0","3.57"
"Authentication","Test Token Creation with invalid API KEY","SUCCESS","2020-03-09T18:33:17.828-05:00[America/Bogota]","0.0","0.89"
"Authentication","Test Validate Token Creation with invalid username","SUCCESS","2020-03-09T18:33:18.724-05:00[America/Bogota]","0.0","1.73"
"Authentication","Test Validate Token Creation with invalid password","SUCCESS","2020-03-09T18:33:20.456-05:00[America/Bogota]","0.0","1.75"
"Authentication","Test Validate Token Creation with empty username","SUCCESS","2020-03-09T18:33:22.214-05:00[America/Bogota]","0.0","1.76"
"Authentication","Test Validate Token Creation with empty password","SUCCESS","2020-03-09T18:33:23.972-05:00[America/Bogota]","0.0","1.78"
"Guest Authentication","Test Guest Session Authentication","SUCCESS","2020-03-09T18:33:25.754-05:00[America/Bogota]","0.0","0.92"
"Guest Authentication","Test Guest Session Authentication with invalid API KEY","SUCCESS","2020-03-09T18:33:26.676-05:00[America/Bogota]","0.0","0.86"
"List","Test get list detail","SUCCESS","2020-03-09T18:33:27.537-05:00[America/Bogota]","0.0","4.27"
"List","Test create a list","SUCCESS","2020-03-09T18:33:31.81-05:00[America/Bogota]","0.0","4.44"
"List","Test add a movie to a list","SUCCESS","2020-03-09T18:33:40.824-05:00[America/Bogota]","0.0","4.57"
"List","Test delete a movie from a list","SUCCESS","2020-03-09T18:33:45.395-05:00[America/Bogota]","0.0","4.33"
"List","Test to clear a list","SUCCESS","2020-03-09T18:33:49.725-05:00[America/Bogota]","0.0","4.34"
"List","Test to clear a nonexistent list","SUCCESS","2020-03-09T18:33:54.066-05:00[America/Bogota]","0.0","4.33"
"List","Test get check that a movie is in a list","SUCCESS","2020-03-09T18:33:58.401-05:00[America/Bogota]","0.0","4.36"
"List","Test get details of a nonexistent list","SUCCESS","2020-03-09T18:34:02.77-05:00[America/Bogota]","0.0","3.4"
"List","Test delete an nonexistent list","SUCCESS","2020-03-09T18:34:06.174-05:00[America/Bogota]","0.0","3.39"
"List","Test create a list without session id","SUCCESS","2020-03-09T18:34:09.567-05:00[America/Bogota]","0.0","4.39"
"List","Test create a list without name","SUCCESS","2020-03-09T18:34:13.96-05:00[America/Bogota]","0.0","4.31"
"Rate TV Episose","Test Rate a tv show episode","SUCCESS","2020-03-09T18:34:18.271-05:00[America/Bogota]","0.0","4.63"
"Rate TV Episose","Test Delete a tv show episode rating","SUCCESS","2020-03-09T18:34:22.91-05:00[America/Bogota]","0.0","4.93"
"Rate TV Episose","Test to rate a tv show episode with a rating not multiple of 0.50","SUCCESS","2020-03-09T18:34:27.842-05:00[America/Bogota]","0.0","4.45"
"Rate TV Episose","Test to rate a tv show episode with a greater rating than accepted","SUCCESS","2020-03-09T18:34:32.295-05:00[America/Bogota]","0.0","4.28"
"Rate TV Episose","Test to rate a tv show episode with a lower rating than accepted","SUCCESS","2020-03-09T18:34:36.577-05:00[America/Bogota]","0.0","4.22"
"Rate TV Episose","Test Rate a tv show with invalid episode","SUCCESS","2020-03-09T18:34:40.803-05:00[America/Bogota]","0.0","4.43"
"Rate TV Episose","Test Rate a tv show with invalid API KEY","SUCCESS","2020-03-09T18:34:45.24-05:00[America/Bogota]","0.0","4.25"
"Rate Movies Guest","Test rate a movie as a guest","SUCCESS","2020-03-09T18:34:49.498-05:00[America/Bogota]","0.0","1.78"
"Rate Movies Guest","Test delete a rating of a movie","SUCCESS","2020-03-09T18:34:51.276-05:00[America/Bogota]","0.0","1.74"
