"Story","Title","Result","Date","Stability","Duration (s)"
"Rate Movies Guest","Test rate a movie as a guest","SUCCESS","2020-03-09T18:34:49.498-05:00[America/Bogota]","0.0","1.78"
"Rate Movies Guest","Test delete a rating of a movie","SUCCESS","2020-03-09T18:34:51.276-05:00[America/Bogota]","0.0","1.74"
"Rate Movies Guest","Test to rate a movie with a higher rating than accepted","SUCCESS","2020-03-09T18:34:53.02-05:00[America/Bogota]","0.0","1.75"
"Rate Movies Guest","Test to rate a movie with a lower rating than accepted","SUCCESS","2020-03-09T18:34:54.777-05:00[America/Bogota]","0.0","1.74"
"Rate Movies Guest","Test to rate a movie with a rating not multiple of 0.50","SUCCESS","2020-03-09T18:34:56.518-05:00[America/Bogota]","0.0","1.76"
"Rate Movies Guest","Test to rate a movie with invalid movie id","SUCCESS","2020-03-09T18:34:58.283-05:00[America/Bogota]","0.0","1.73"
"Rate Movies Guest","Test rate a tv show as a guest","SUCCESS","2020-03-09T18:35:51.299-05:00[America/Bogota]","0.0","1.77"
"Rate Movies Guest","Test delete a tv show as a guest","SUCCESS","2020-03-09T18:35:53.072-05:00[America/Bogota]","0.0","1.77"
"Rate Movies Guest","Test to rate a tv show as a guest with a higher rating than accepted","SUCCESS","2020-03-09T18:35:54.838-05:00[America/Bogota]","0.0","1.7"
"Rate Movies Guest","Test to rate a tv show as a guest with a lower rating than accepted","SUCCESS","2020-03-09T18:35:56.54-05:00[America/Bogota]","0.0","1.67"
"Rate Movies Guest","Test to rate a tv show as a guest with a rating not multiple of 0.50","SUCCESS","2020-03-09T18:35:58.212-05:00[America/Bogota]","0.0","1.69"
"Rate Movies Guest","Test to rate a tv show as a guest with invalid tv show id","SUCCESS","2020-03-09T18:35:59.907-05:00[America/Bogota]","0.0","1.66"
