"Story","Title","Result","Date","Stability","Duration (s)"
"List","Test get list detail","SUCCESS","2020-03-09T18:33:27.537-05:00[America/Bogota]","0.0","4.27"
"List","Test create a list","SUCCESS","2020-03-09T18:33:31.81-05:00[America/Bogota]","0.0","4.44"
"List","Test delete of a list","FAILURE","2020-03-09T18:33:36.256-05:00[America/Bogota]","0.0","4.42"
"List","Test add a movie to a list","SUCCESS","2020-03-09T18:33:40.824-05:00[America/Bogota]","0.0","4.57"
"List","Test delete a movie from a list","SUCCESS","2020-03-09T18:33:45.395-05:00[America/Bogota]","0.0","4.33"
"List","Test to clear a list","SUCCESS","2020-03-09T18:33:49.725-05:00[America/Bogota]","0.0","4.34"
"List","Test to clear a nonexistent list","SUCCESS","2020-03-09T18:33:54.066-05:00[America/Bogota]","0.0","4.33"
"List","Test get check that a movie is in a list","SUCCESS","2020-03-09T18:33:58.401-05:00[America/Bogota]","0.0","4.36"
"List","Test get details of a nonexistent list","SUCCESS","2020-03-09T18:34:02.77-05:00[America/Bogota]","0.0","3.4"
"List","Test delete an nonexistent list","SUCCESS","2020-03-09T18:34:06.174-05:00[America/Bogota]","0.0","3.39"
"List","Test create a list without session id","SUCCESS","2020-03-09T18:34:09.567-05:00[America/Bogota]","0.0","4.39"
"List","Test create a list without name","SUCCESS","2020-03-09T18:34:13.96-05:00[America/Bogota]","0.0","4.31"
