"Story","Title","Result","Date","Stability","Duration (s)"
"List","Test get list detail","SUCCESS","2020-03-10T09:56:33.577-05:00[America/Bogota]","0.0","4.74"
"List","Test create a list","SUCCESS","2020-03-10T09:56:38.322-05:00[America/Bogota]","0.0","4.56"
"List","Test add a movie to a list","SUCCESS","2020-03-10T09:56:47.666-05:00[America/Bogota]","0.0","4.35"
"List","Test delete a movie from a list","SUCCESS","2020-03-10T09:56:52.016-05:00[America/Bogota]","0.0","4.3"
"List","Test to clear a list","SUCCESS","2020-03-10T09:56:56.327-05:00[America/Bogota]","0.0","4.34"
"List","Test to clear a nonexistent list","SUCCESS","2020-03-10T09:57:00.676-05:00[America/Bogota]","0.0","4.27"
"List","Test get check that a movie is in a list","SUCCESS","2020-03-10T09:57:04.949-05:00[America/Bogota]","0.0","4.37"
"List","Test get details of a nonexistent list","SUCCESS","2020-03-10T09:57:09.321-05:00[America/Bogota]","0.0","3.5"
"List","Test delete an nonexistent list","SUCCESS","2020-03-10T09:57:12.821-05:00[America/Bogota]","0.0","3.48"
"List","Test create a list without session id","SUCCESS","2020-03-10T09:57:16.308-05:00[America/Bogota]","0.0","4.44"
"List","Test create a list without name","SUCCESS","2020-03-10T09:57:20.766-05:00[America/Bogota]","0.0","4.35"
