"Story","Title","Result","Date","Stability","Duration (s)"
"Authentication","Test Authentication","SUCCESS","2020-03-09T17:33:22.694-05:00[America/Bogota]","0.0","6.25"
"Authentication","Test Delete of session","SUCCESS","2020-03-09T17:33:28.954-05:00[America/Bogota]","0.0","3.59"
"Authentication","Test Token Creation with invalid API KEY","SUCCESS","2020-03-09T17:33:32.546-05:00[America/Bogota]","0.0","1.78"
"Authentication","Test Validate Token Creation with invalid username","SUCCESS","2020-03-09T17:33:34.334-05:00[America/Bogota]","0.0","1.82"
"Authentication","Test Validate Token Creation with invalid password","SUCCESS","2020-03-09T17:33:36.154-05:00[America/Bogota]","0.0","1.74"
"Authentication","Test Validate Token Creation with empty username","SUCCESS","2020-03-09T17:33:37.895-05:00[America/Bogota]","0.0","1.73"
"Authentication","Test Validate Token Creation with empty password","SUCCESS","2020-03-09T17:33:39.633-05:00[America/Bogota]","0.0","1.74"
"Guest Authentication","Test Guest Session Authentication","SUCCESS","2020-03-09T17:33:41.373-05:00[America/Bogota]","0.0","0.91"
"Guest Authentication","Test Guest Session Authentication with invalid API KEY","SUCCESS","2020-03-09T17:33:42.281-05:00[America/Bogota]","0.0","0.9"
"List","Test get list detail","SUCCESS","2020-03-09T17:33:43.188-05:00[America/Bogota]","0.0","4.46"
"List","Test create a list","SUCCESS","2020-03-09T17:33:47.652-05:00[America/Bogota]","0.0","4.33"
"List","Test delete of a list","FAILURE","2020-03-09T17:33:51.989-05:00[America/Bogota]","0.0","4.7"
"List","Test add a movie to a list","SUCCESS","2020-03-09T17:33:56.832-05:00[America/Bogota]","0.0","4.34"
"List","Test delete a movie from a list","SUCCESS","2020-03-09T17:34:01.171-05:00[America/Bogota]","0.0","4.27"
"List","Test to clear a list","SUCCESS","2020-03-09T17:34:05.445-05:00[America/Bogota]","0.0","4.81"
"List","Test to clear a nonexistent list","SUCCESS","2020-03-09T17:34:10.256-05:00[America/Bogota]","0.0","4.29"
"List","Test get check that a movie is in a list","SUCCESS","2020-03-09T17:34:14.555-05:00[America/Bogota]","0.0","4.33"
"List","Test get details of a nonexistent list","SUCCESS","2020-03-09T17:34:18.884-05:00[America/Bogota]","0.0","3.43"
"List","Test delete an nonexistent list","SUCCESS","2020-03-09T17:34:22.319-05:00[America/Bogota]","0.0","3.42"
"List","Test create a list without session id","SUCCESS","2020-03-09T17:34:25.742-05:00[America/Bogota]","0.0","4.5"
"List","Test create a list without name","SUCCESS","2020-03-09T17:34:30.249-05:00[America/Bogota]","0.0","4.33"
"Rate TV Episose","Test Rate a tv show episode","SUCCESS","2020-03-09T17:34:34.579-05:00[America/Bogota]","0.0","5.43"
"Rate TV Episose","Test Delete a tv show episode rating","SUCCESS","2020-03-09T17:34:40.012-05:00[America/Bogota]","0.0","4.29"
"Rate TV Episose","Test to rate a tv show episode with a rating not multiple of 0.50","SUCCESS","2020-03-09T17:34:44.305-05:00[America/Bogota]","0.0","4.19"
"Rate TV Episose","Test to rate a tv show episode with a greater rating than accepted","SUCCESS","2020-03-09T17:34:48.494-05:00[America/Bogota]","0.0","4.13"
"Rate TV Episose","Test to rate a tv show episode with a lower rating than accepted","SUCCESS","2020-03-09T17:34:52.62-05:00[America/Bogota]","0.0","4.22"
"Rate TV Episose","Test Rate a tv show with invalid episode","SUCCESS","2020-03-09T17:34:56.836-05:00[America/Bogota]","0.0","4.39"
"Rate TV Episose","Test Rate a tv show with invalid API KEY","SUCCESS","2020-03-09T17:35:01.232-05:00[America/Bogota]","0.0","4.19"
"Rate TV Shows","Rate a tv show","SUCCESS","2020-03-09T17:35:31.272-05:00[America/Bogota]","0.0","4.36"
"Rate TV Shows","Delete a rating","SUCCESS","2020-03-09T17:35:35.634-05:00[America/Bogota]","0.0","4.27"
"Rate TV Shows","Rate a tv show with a higher rating than accepted","SUCCESS","2020-03-09T17:35:39.904-05:00[America/Bogota]","0.0","4.21"
"Rate TV Shows","Rate a tv show with a lower rating than accepted","SUCCESS","2020-03-09T17:35:44.114-05:00[America/Bogota]","0.0","4.33"
"Rate TV Shows","Rate a tv show with a rating not multiple of 0.50","SUCCESS","2020-03-09T17:35:48.448-05:00[America/Bogota]","0.0","4.38"
"Rate TV Shows","Rate a tv show with invalid id","SUCCESS","2020-03-09T17:35:52.831-05:00[America/Bogota]","0.0","4.32"
"Rate Movies","Rate a movie","SUCCESS","2020-03-09T17:35:57.15-05:00[America/Bogota]","0.0","1.9"
"Rate Movies","Delete a rating of a movie","SUCCESS","2020-03-09T17:35:59.051-05:00[America/Bogota]","0.0","1.68"
"Rate Movies","Rate a movie with a higher rating than accepted","SUCCESS","2020-03-09T17:36:00.735-05:00[America/Bogota]","0.0","1.73"
"Rate Movies","Rate a movie with a lower rating than accepted","SUCCESS","2020-03-09T17:36:02.471-05:00[America/Bogota]","0.0","1.7"
"Rate Movies","Rate a movie with a rating not multiple of 0.50","SUCCESS","2020-03-09T17:36:04.169-05:00[America/Bogota]","0.0","1.73"
"Rate Movies","Rate a movie with invalid movie id","SUCCESS","2020-03-09T17:36:05.904-05:00[America/Bogota]","0.0","1.93"
"Reviews","Test check review details","SUCCESS","2020-03-09T17:36:07.838-05:00[America/Bogota]","0.0","0.8"
"Reviews","Test check review details with invalid review id","SUCCESS","2020-03-09T17:36:08.639-05:00[America/Bogota]","0.0","0.83"
